term
bone marrow
BM-MSC
Cellavita
bone tissue
XCEL-MT-OSTEO-ALPHA
Prochymal
collected by a bone scraper from the access window to the maxillary sinus
BM MSC
Bone Marrow Mesenchymal Stem Cell
Bone Marrow Mesenchymal Stromal
