term
placental
PLX-PAD
placenta
pooled olfactory mucosa-derived mesenchymal stem cells
mucosa-derived mesenchymal
mesenchymal precursor cell type
fetal
BOOST cells
embryonic stem cell derived
amniotic mesenchymal
Amniotic
gingival mesenchymal stem cells
GMSCs
mesenchymal precursor cell type
placental
PLX-PAD
placenta
pooled olfactory mucosa-derived mesenchymal stem cells
mucosa-derived mesenchymal
