,Study Results,count,enrolled,all_count,all_enroll,allo_count,allo_enroll,auto_count,auto_enroll,both_count,both_enroll,undeclared_count,undeclared_enroll
0,,1457,68410,0,0,0,0,0,0,0,0,0,0
1,,0,0,0,0,0,0,0,0,0,0,0,0
