,year,enroll
354,2016,90.0
355,2013,90.0
356,2020,91.0
357,2022,99.0
358,2012,100.0
359,2016,100.0
360,2016,100.0
361,2016,100.0
362,2018,100.0
363,2021,100.0
364,2014,100.0
365,2019,100.0
366,2015,100.0
367,2006,110.0
368,2012,112.0
369,2014,120.0
370,2022,120.0
371,2018,120.0
372,2018,124.0
373,2015,125.0
374,2020,129.0
375,2016,140.0
376,2021,140.0
377,2020,150.0
378,2013,150.0
379,2005,158.0
380,2022,200.0
381,2015,200.0
382,2022,200.0
383,2018,200.0
384,2021,200.0
385,2015,240.0
386,2021,252.0
387,2019,260.0
388,2021,263.0
389,2019,300.0
390,2022,300.0
391,2020,306.0
392,2012,315.0
393,2018,700.0
394,2019,nan
395,2019,nan
396,2019,nan
397,2021,nan
398,2022,nan
399,2022,nan
400,2020,nan
401,2020,nan
402,2020,nan
403,2021,nan
404,2021,nan
405,2021,nan
406,2021,nan
407,2021,nan
408,2021,nan
