term
allogeneic
allogenic
Ossium vBM-MSC
ALLO-ASC
Prochymal
remestemcel-L
allo-hMSCs
Longeveron
placental
umbilical cord
wharton s jelly
whartons jelly
PrimePro
PrimeMSK
AlloRx
ALLO-ASC-DFU
UMC119-06
SMUP-IA-01
COVI-MSC
UC-MSCs
Longeveron Mesenchymal Stem Cells
CardioCell
Cartistem
WJ-MSC
WJ-MSCs
UMC119-06-05
NurOwn
MSC-NTF cells
Corlicyte
ex vivo cultured
ExoFlo
