,year,allo,auto,both
0,1995,100.0,0.0,0.0
0,1996,0.0,0.0,0.0
0,1997,0.0,0.0,0.0
0,1998,0.0,0.0,0.0
0,1999,27.6,72.4,0.0
0,2000,0.0,100.0,0.0
0,2001,0.0,0.0,0.0
0,2002,0.0,0.0,0.0
0,2003,0.0,61.2,38.8
0,2004,0.0,0.0,0.0
0,2005,27.7,72.3,0.0
0,2006,13.8,86.2,0.0
0,2007,79.3,8.5,12.2
0,2008,46.9,34.8,18.3
0,2009,61.2,16.0,22.8
0,2010,47.2,39.1,13.7
0,2011,67.5,27.4,5.0
0,2012,47.7,37.3,15.0
0,2013,64.1,32.5,3.5
0,2014,68.6,25.2,6.1
0,2015,46.0,49.6,4.5
0,2016,55.6,41.8,2.6
0,2017,66.5,27.6,5.9
0,2018,58.4,40.1,1.5
0,2019,52.8,34.4,12.7
0,2020,86.8,10.8,2.4
0,2021,66.6,29.6,3.8
0,2022,68.4,25.6,6.1
0,2023,62.4,5.8,31.8
