,nctids
355,NCT02016508
356,NCT02017912
357,NCT02023788
358,NCT02025270
359,NCT02032004
360,NCT02032446
361,NCT02033525
362,NCT02034188
363,NCT02034786
364,NCT02035514
365,NCT02037204
366,NCT02045745
367,NCT02054208
368,NCT02055625
369,NCT02057211
370,NCT02057965
371,NCT02062931
372,NCT02064062
373,NCT02065167
374,NCT02065245
375,NCT02068794
376,NCT02083718
377,NCT02083731
378,NCT02097641
379,NCT02104440
380,NCT02104713
381,NCT02107118
382,NCT02108132
383,NCT02112500
384,NCT02116634
385,NCT02118519
386,NCT02123368
387,NCT02135380
388,NCT02138331
389,NCT02140528
390,NCT02145897
391,NCT02145923
392,NCT02150551
393,NCT02152657
394,NCT02162693
395,NCT02165904
396,NCT02166021
397,NCT02166489
398,NCT02172885
399,NCT02177565
400,NCT02181478
401,NCT02181712
402,NCT02192736
403,NCT02192749
404,NCT02195323
405,NCT02208713
406,NCT02209311
407,NCT02210624
408,NCT02213705
409,NCT02215811
410,NCT02218437
411,NCT02223897
412,NCT02230514
413,NCT02235844
414,NCT02237547
415,NCT02237846
416,NCT02239393
417,NCT02240823
418,NCT02240992
419,NCT02241018
420,NCT02247973
421,NCT02249676
422,NCT02260375
423,NCT02266394
424,NCT02270307
425,NCT02274428
426,NCT02277145
427,NCT02283879
428,NCT02285673
429,NCT02286128
430,NCT02287831
431,NCT02287974
432,NCT02290041
433,NCT02290886
434,NCT02291770
435,NCT02291926
436,NCT02292628
437,NCT02298023
438,NCT02302599
439,NCT02304562
440,NCT02304588
441,NCT02307435
442,NCT02313415
443,NCT02315027
444,NCT02323477
445,NCT02323789
446,NCT02325843
447,NCT02326935
448,NCT02327832
449,NCT02328612
450,NCT02330978
451,NCT02331134
452,NCT02334878
453,NCT02336230
454,NCT02336646
455,NCT02338271
456,NCT02338375
457,NCT02344849
458,NCT02351011
459,NCT02352077
460,NCT02359929
461,NCT02365142
462,NCT02368587
463,NCT02372474
464,NCT02375568
465,NCT02378974
466,NCT02379442
467,NCT02381366
468,NCT02382874
469,NCT02384018
470,NCT02384499
471,NCT02387151
472,NCT02387723
473,NCT02387749
474,NCT02394873
475,NCT02394886
476,NCT02395029
477,NCT02398370
478,NCT02398604
479,NCT02403232
480,NCT02403947
481,NCT02407470
482,NCT02408432
483,NCT02409940
484,NCT02410239
485,NCT02412735
486,NCT02414295
487,NCT02418325
488,NCT02421484
489,NCT02439541
490,NCT02440074
491,NCT02442037
492,NCT02442817
493,NCT02443961
494,NCT02444455
495,NCT02444858
496,NCT02445547
497,NCT02448121
498,NCT02448849
499,NCT02449005
500,NCT02460770
501,NCT02462330
502,NCT02467387
503,NCT02468492
504,NCT02472002
505,NCT02474342
506,NCT02477540
507,NCT02481440
508,NCT02482194
509,NCT02483364
510,NCT02484560
511,NCT02484950
512,NCT02490020
513,NCT02491658
514,NCT02492308
515,NCT02492490
516,NCT02492516
517,NCT02494752
518,NCT02495766
519,NCT02497443
520,NCT02501811
521,NCT02503280
522,NCT02504437
523,NCT02509156
524,NCT02513238
525,NCT02525432
526,NCT02529566
527,NCT02530047
528,NCT02543073
529,NCT02544802
530,NCT02557724
531,NCT02561767
532,NCT02563340
533,NCT02563366
534,NCT02564328
535,NCT02565459
536,NCT02566655
537,NCT02566681
538,NCT02570932
539,NCT02574572
540,NCT02574585
541,NCT02579148
542,NCT02579369
543,NCT02580019
544,NCT02580617
545,NCT02580695
546,NCT02582489
547,NCT02582775
548,NCT02585622
549,NCT02587572
550,NCT02587715
551,NCT02589119
552,NCT02594839
553,NCT02600130
554,NCT02603744
555,NCT02611167
556,NCT02619734
557,NCT02619851
558,NCT02619877
559,NCT02622464
560,NCT02625246
561,NCT02630836
562,NCT02633163
563,NCT02635464
564,NCT02641769
565,NCT02641860
566,NCT02643823
567,NCT02644447
568,NCT02645305
569,NCT02646007
570,NCT02648386
571,NCT02652351
572,NCT02658344
573,NCT02666391
574,NCT02668068
575,NCT02669199
576,NCT02672267
577,NCT02672280
578,NCT02672306
579,NCT02674399
580,NCT02675556
581,NCT02677350
582,NCT02685098
583,NCT02685722
584,NCT02687646
585,NCT02688049
586,NCT02696876
587,NCT02698813
588,NCT02705742
589,NCT02706132
590,NCT02709343
591,NCT02731586
592,NCT02745808
593,NCT02749448
594,NCT02751125
595,NCT02755376
596,NCT02755922
597,NCT02763423
598,NCT02763748
599,NCT02767817
600,NCT02770430
601,NCT02776943
602,NCT02779374
603,NCT02786017
604,NCT02789995
605,NCT02790762
606,NCT02796079
607,NCT02801890
608,NCT02804945
609,NCT02805855
610,NCT02807389
611,NCT02808208
612,NCT02809781
613,NCT02812121
614,NCT02814864
615,NCT02815423
616,NCT02824393
617,NCT02824653
618,NCT02829216
619,NCT02831075
620,NCT02833792
621,NCT02834858
622,NCT02838069
623,NCT02846883
624,NCT02848131
625,NCT02853942
626,NCT02854579
627,NCT02855073
628,NCT02855112
629,NCT02857010
630,NCT02866721
631,NCT02881476
632,NCT02881489
633,NCT02883803
634,NCT02884154
635,NCT02886884
636,NCT02888704
637,NCT02890537
638,NCT02890953
639,NCT02893306
640,NCT02900014
641,NCT02917291
642,NCT02917681
643,NCT02923375
644,NCT02926079
645,NCT02926300
646,NCT02932852
647,NCT02940418
648,NCT02941666
649,NCT02943486
650,NCT02943889
651,NCT02945449
652,NCT02945462
653,NCT02947191
654,NCT02949414
655,NCT02957552
656,NCT02958267
657,NCT02961725
658,NCT02962661
659,NCT02963727
660,NCT02964143
661,NCT02966717
662,NCT02966951
663,NCT02968459
664,NCT02975960
665,NCT02981576
666,NCT02982915
667,NCT02985346
668,NCT02987413
669,NCT02997878
670,NCT03000712
671,NCT03003364
672,NCT03007576
673,NCT03013049
674,NCT03014037
675,NCT03014219
676,NCT03015623
677,NCT03028428
678,NCT03033277
679,NCT03042143
680,NCT03042572
681,NCT03044119
682,NCT03047772
683,NCT03048773
684,NCT03055078
685,NCT03056742
686,NCT03058068
687,NCT03059355
688,NCT03066245
689,NCT03067831
690,NCT03067870
691,NCT03068988
692,NCT03069170
693,NCT03069209
694,NCT03070275
695,NCT03078621
696,NCT03079401
697,NCT03096782
698,NCT03099239
699,NCT03102879
700,NCT03103295
701,NCT03105284
702,NCT03106662
703,NCT03109301
704,NCT03112122
705,NCT03113747
706,NCT03115749
707,NCT03117738
708,NCT03123458
709,NCT03130374
710,NCT03137199
711,NCT03137979
712,NCT03158896
713,NCT03164083
714,NCT03164122
715,NCT03166189
716,NCT03166865
717,NCT03167138
718,NCT03169231
719,NCT03171194
720,NCT03172117
721,NCT03173638
722,NCT03174587
723,NCT03176498
724,NCT03180450
725,NCT03180463
726,NCT03181087
727,NCT03183622
728,NCT03183648
729,NCT03183661
730,NCT03183726
731,NCT03183804
732,NCT03183934
733,NCT03184935
734,NCT03186417
735,NCT03186456
736,NCT03187431
737,NCT03209700
738,NCT03209986
739,NCT03211793
740,NCT03219801
741,NCT03220243
742,NCT03226015
743,NCT03233074
744,NCT03237442
745,NCT03239535
746,NCT03248466
747,NCT03254758
748,NCT03257098
749,NCT03258164
750,NCT03259217
751,NCT03265444
752,NCT03265613
753,NCT03265808
754,NCT03267784
755,NCT03268603
756,NCT03279796
757,NCT03280056
758,NCT03288571
759,NCT03291366
760,NCT03294759
761,NCT03296501
762,NCT03298399
763,NCT03298763
764,NCT03299413
765,NCT03308006
766,NCT03308565
767,NCT03321942
768,NCT03325322
769,NCT03325504
770,NCT03326505
771,NCT03333681
772,NCT03336996
773,NCT03337243
774,NCT03343782
775,NCT03346967
776,NCT03351868
777,NCT03355365
778,NCT03356821
779,NCT03357575
780,NCT03357770
781,NCT03358654
782,NCT03361631
783,NCT03362424
784,NCT03369275
785,NCT03369457
786,NCT03370874
787,NCT03371329
788,NCT03378063
789,NCT03378414
790,NCT03379168
791,NCT03383081
792,NCT03384433
793,NCT03386708
794,NCT03389919
795,NCT03392311
796,NCT03392467
797,NCT03397095
798,NCT03404063
799,NCT03406585
800,NCT03410355
801,NCT03414697
802,NCT03418233
803,NCT03423732
804,NCT03424629
805,NCT03437759
806,NCT03449069
807,NCT03449082
808,NCT03454737
809,NCT03455335
810,NCT03458156
811,NCT03460223
812,NCT03460795
813,NCT03461458
814,NCT03472742
815,NCT03473301
816,NCT03477942
817,NCT03478215
818,NCT03484741
819,NCT03487731
820,NCT03489564
821,NCT03504241
822,NCT03505034
823,NCT03509025
824,NCT03509870
825,NCT03516006
826,NCT03521323
827,NCT03521336
828,NCT03522545
829,NCT03525418
830,NCT03529136
831,NCT03529877
832,NCT03550183
833,NCT03552848
834,NCT03555773
835,NCT03558334
836,NCT03562065
837,NCT03562715
838,NCT03563495
839,NCT03564808
840,NCT03570333
841,NCT03580291
842,NCT03585855
843,NCT03589287
844,NCT03592849
845,NCT03601234
846,NCT03601416
847,NCT03602872
848,NCT03608579
849,NCT03608592
850,NCT03608631
851,NCT03609905
852,NCT03618784
853,NCT03626090
854,NCT03629015
855,NCT03631420
856,NCT03631589
857,NCT03633565
858,NCT03635450
859,NCT03638154
860,NCT03639506
861,NCT03643614
862,NCT03645460
863,NCT03645525
864,NCT03648463
865,NCT03651791
866,NCT03668145
867,NCT03668171
868,NCT03672825
869,NCT03673748
870,NCT03676400
871,NCT03676569
872,NCT03678467
873,NCT03682315
874,NCT03683953
875,NCT03684122
876,NCT03686449
877,NCT03691909
878,NCT03692221
879,NCT03706482
880,NCT03724617
881,NCT03726255
882,NCT03743155
883,NCT03745417
884,NCT03747913
885,NCT03751735
886,NCT03754465
887,NCT03765957
888,NCT03766139
889,NCT03766217
890,NCT03774537
891,NCT03778333
892,NCT03787329
893,NCT03788265
894,NCT03790189
895,NCT03792594
896,NCT03793530
897,NCT03794622
898,NCT03795649
899,NCT03795974
900,NCT03797963
901,NCT03798028
902,NCT03798353
903,NCT03799718
904,NCT03800810
905,NCT03810521
906,NCT03816852
907,NCT03818737
908,NCT03818854
909,NCT03822858
910,NCT03826433
911,NCT03827096
912,NCT03828123
913,NCT03828344
914,NCT03838146
915,NCT03838250
916,NCT03838666
917,NCT03839238
918,NCT03840343
919,NCT03847844
920,NCT03855631
921,NCT03857841
922,NCT03860155
923,NCT03863002
924,NCT03865394
925,NCT03866330
926,NCT03869229
927,NCT03873506
928,NCT03874572
929,NCT03876197
930,NCT03877471
931,NCT03878628
932,NCT03887208
933,NCT03896568
934,NCT03901235
935,NCT03902067
936,NCT03905824
937,NCT03909139
938,NCT03917797
939,NCT03918655
940,NCT03920397
941,NCT03925324
942,NCT03925649
943,NCT03929120
944,NCT03933995
945,NCT03939741
946,NCT03943576
947,NCT03943940
948,NCT03945487
949,NCT03955497
950,NCT03956719
951,NCT03963544
952,NCT03964922
953,NCT03967275
954,NCT03968198
955,NCT03969680
956,NCT03973827
957,NCT03979898
958,NCT03990805
959,NCT03994666
960,NCT04003857
961,NCT04005989
962,NCT04007081
963,NCT04011059
964,NCT04014166
965,NCT04018729
966,NCT04029896
967,NCT04034316
968,NCT04037345
969,NCT04040348
970,NCT04042844
971,NCT04043819
972,NCT04047810
973,NCT04055415
974,NCT04056819
975,NCT04061746
976,NCT04062136
977,NCT04063215
978,NCT04064879
979,NCT04064957
980,NCT04064983
981,NCT04073472
982,NCT04074408
983,NCT04078308
984,NCT04087889
985,NCT04089579
986,NCT04093336
987,NCT04097652
988,NCT04104412
989,NCT04104451
990,NCT04122794
991,NCT04125329
992,NCT04126603
993,NCT04130100
994,NCT04130373
995,NCT04134676
996,NCT04136743
997,NCT04143048
998,NCT04146519
999,NCT04153630
1000,NCT04170426
1001,NCT04173650
1002,NCT04174547
1003,NCT04174898
1004,NCT04184258
1005,NCT04189432
1006,NCT04194671
1007,NCT04206007
1008,NCT04208646
1009,NCT04210440
1010,NCT04212728
1011,NCT04213131
1012,NCT04213248
1013,NCT04216849
1014,NCT04219657
1015,NCT04222140
1016,NCT04223622
1017,NCT04224207
1018,NCT04228666
1019,NCT04230902
1020,NCT04234412
1021,NCT04234750
1022,NCT04235296
1023,NCT04235868
1024,NCT04236479
1025,NCT04240873
1026,NCT04243681
1027,NCT04247945
1028,NCT04252118
1029,NCT04255147
1030,NCT04269525
1031,NCT04269941
1032,NCT04273646
1033,NCT04274543
1034,NCT04275024
1035,NCT04276987
1036,NCT04280003
1037,NCT04281797
1038,NCT04282928
1039,NCT04288102
1040,NCT04288934
1041,NCT04289194
1042,NCT04290182
1043,NCT04293692
1044,NCT04294290
1045,NCT04297813
1046,NCT04302519
1047,NCT04308213
1048,NCT04310215
1049,NCT04310852
1050,NCT04312113
1051,NCT04313322
1052,NCT04313647
1053,NCT04314011
1054,NCT04314661
1055,NCT04314687
1056,NCT04315025
1057,NCT04315987
1058,NCT04318600
1059,NCT04325594
1060,NCT04326959
1061,NCT04326985
1062,NCT04328714
1063,NCT04333368
1064,NCT04336254
1065,NCT04339504
1066,NCT04339660
1067,NCT04340284
1068,NCT04340609
1069,NCT04341610
1070,NCT04342325
1071,NCT04345601
1072,NCT04346368
1073,NCT04347967
1074,NCT04348435
1075,NCT04348461
1076,NCT04349631
1077,NCT04351932
1078,NCT04352803
1079,NCT04355728
1080,NCT04356287
1081,NCT04356300
1082,NCT04357600
1083,NCT04361942
1084,NCT04362189
1085,NCT04366063
1086,NCT04366271
1087,NCT04366323
1088,NCT04366830
1089,NCT04368806
1090,NCT04371393
1091,NCT04371601
1092,NCT04377334
1093,NCT04382547
1094,NCT04385056
1095,NCT04388761
1096,NCT04388982
1097,NCT04389450
1098,NCT04390139
1099,NCT04390152
1100,NCT04392206
1101,NCT04397471
1102,NCT04399889
1103,NCT04400032
1104,NCT04410731
1105,NCT04414592
1106,NCT04416139
1107,NCT04421274
1108,NCT04426643
1109,NCT04427930
1110,NCT04428801
1111,NCT04429763
1112,NCT04432467
1113,NCT04432545
1114,NCT04433104
1115,NCT04434768
1116,NCT04434794
1117,NCT04435249
1118,NCT04437823
1119,NCT04441658
1120,NCT04444271
1121,NCT04445220
1122,NCT04445454
1123,NCT04446884
1124,NCT04446897
1125,NCT04447833
1126,NCT04448106
1127,NCT04452097
1128,NCT04453111
1129,NCT04456361
1130,NCT04456439
1131,NCT04457037
1132,NCT04457609
1133,NCT04461925
1134,NCT04464213
1135,NCT04466007
1136,NCT04466098
1137,NCT04467047
1138,NCT04476901
1139,NCT04482413
1140,NCT04482699
1141,NCT04484077
1142,NCT04484402
1143,NCT04489732
1144,NCT04490486
1145,NCT04491240
1146,NCT04492501
1147,NCT04493242
1148,NCT04493918
1149,NCT04494386
1150,NCT04497805
1151,NCT04499105
1152,NCT04501341
1153,NCT04501354
1154,NCT04506073
1155,NCT04514952
1156,NCT04519671
1157,NCT04519684
1158,NCT04519697
1159,NCT04520022
1160,NCT04520373
1161,NCT04520945
1162,NCT04522869
1163,NCT04522986
1164,NCT04524962
1165,NCT04525378
1166,NCT04527224
1167,NCT04535856
1168,NCT04536233
1169,NCT04537351
1170,NCT04538885
1171,NCT04543994
1172,NCT04544215
1173,NCT04545307
1174,NCT04548583
1175,NCT04549285
1176,NCT04551443
1177,NCT04551456
1178,NCT04562025
1179,NCT04565665
1180,NCT04569409
1181,NCT04573270
1182,NCT04590118
1183,NCT04592640
1184,NCT04594850
1185,NCT04602104
1186,NCT04602442
1187,NCT04604288
1188,NCT04610359
1189,NCT04611256
1190,NCT04612465
1191,NCT04614025
1192,NCT04615429
1193,NCT04615455
1194,NCT04623606
1195,NCT04625738
1196,NCT04626583
1197,NCT04629105
1198,NCT04629833
1199,NCT04642911
1200,NCT04650568
1201,NCT04651855
1202,NCT04652908
1203,NCT04654286
1204,NCT04657315
1205,NCT04657458
1206,NCT04661644
1207,NCT04670302
1208,NCT04675359
1209,NCT04675970
1210,NCT04681118
1211,NCT04684602
1212,NCT04689152
