,NCT Number,count,enrolled
245,NCT03912480,1,24
246,NCT04361942,1,24
247,NCT04928287,1,24
248,NCT02298023,1,24
249,NCT03810521,1,24
250,NCT01499459,1,25
251,NCT04484402,1,25
252,NCT04834609,1,27
253,NCT01931007,1,25
254,NCT05165017,1,26
255,NCT04366323,1,26
256,NCT03000712,1,26
257,NCT04289194,1,26
258,NCT01745783,1,26
259,NCT02065167,1,26
260,NCT03608592,1,26
261,NCT02313415,1,26
262,NCT03828123,1,26
263,NCT02034786,1,25
264,NCT01824121,1,25
265,NCT03672825,1,25
266,NCT00555828,1,25
267,NCT00891501,1,25
268,NCT04310852,1,25
269,NCT01539902,1,25
270,NCT00314483,1,25
271,NCT01351610,1,25
272,NCT03096782,1,25
273,NCT05261360,1,30
274,NCT02881489,1,30
275,NCT01129739,1,30
276,NCT02763423,1,30
277,NCT03522545,1,30
278,NCT04390139,1,30
279,NCT01065337,1,30
280,NCT03296501,1,30
281,NCT02672280,1,30
282,NCT03920397,1,30
283,NCT00504803,1,30
284,NCT05106972,1,30
285,NCT04524962,1,30
286,NCT04951882,1,30
287,NCT02494752,1,30
288,NCT03449082,1,30
289,NCT01739777,1,30
290,NCT01182662,1,30
291,NCT04392778,1,30
292,NCT02442037,1,30
293,NCT04461925,1,30
294,NCT04714801,1,30
295,NCT04308213,1,30
296,NCT01849237,1,30
297,NCT03325322,1,30
298,NCT03876197,1,30
299,NCT01087996,1,31
300,NCT04522869,1,34
301,NCT04018729,1,34
302,NCT01745744,1,33
303,NCT01257776,1,33
304,NCT02600130,1,33
305,NCT03618784,1,33
306,NCT03686449,1,33
307,NCT04224207,1,32
308,NCT04382547,1,32
309,NCT03258164,1,32
310,NCT02958267,1,32
311,NCT01033552,1,32
312,NCT02328612,1,32
313,NCT00136903,1,32
314,NCT00875654,1,31
315,NCT03257098,1,31
316,NCT03939741,1,31
317,NCT02239393,1,31
318,NCT00260338,1,31
319,NCT01854125,1,30
320,NCT01759823,1,30
321,NCT02848131,1,30
322,NCT02698813,1,30
323,NCT04280003,1,30
324,NCT05508191,1,30
325,NCT02352077,1,30
326,NCT01549665,1,30
327,NCT02745808,1,30
328,NCT02688049,1,30
329,NCT03873506,1,30
330,NCT03343782,1,30
331,NCT05125562,1,30
332,NCT03137979,1,30
333,NCT04235296,1,30
334,NCT05018637,1,30
335,NCT01842477,1,30
336,NCT03460223,1,30
337,NCT02881476,1,30
338,NCT03291366,1,30
339,NCT02755376,1,30
340,NCT03955497,1,30
