,Status,count,enrolled
0,Completed,431,17191
1,Unknown status,397,19936
2,Recruiting,276,19185
3,Not yet recruiting,90,4606
4,"Active, not recruiting",63,2792
5,Terminated,51,993
6,Withdrawn,50,0
7,Suspended,18,749
8,No longer available,17,0
9,Enrolling by invitation,16,537
10,Available,5,0
11,Temporarily not available,3,0
