,Start Date,count,enrolled
248,"May 19, 2022",1,42
249,"May 4, 2018",1,30
250,"October 21, 2014",1,42
251,February 2006,1,30
252,"June 25, 2020",1,40
253,"February 12, 2019",1,36
254,"January 2, 2018",1,30
255,"November 4, 2019",1,34
256,"March 22, 2017",1,32
257,"May 11, 2020",1,32
258,May 2022,1,40
259,"July 11, 2018",1,33
260,"February 1, 2019",1,40
261,"October 10, 2016",1,33
262,"January 1, 2000",1,34
263,"April 24, 2020",1,40
264,"February 28, 2022",1,40
265,"August 10, 2019",1,34
266,"July 28, 2021",1,40
267,"March 11, 2018",1,30
268,January 2000,1,35
269,"March 2, 2017",1,40
270,"June 25, 2021",1,38
271,"September 7, 2017",1,35
272,"January 9, 2020",1,36
273,"September 23, 2016",1,36
274,"June 1, 2019",1,38
275,"October 15, 2022",1,36
276,April 2007,1,36
277,"September 25, 2020",1,38
278,"April 27, 2005",1,32
279,"October 1, 2013",1,40
280,"July 2, 2021",1,40
281,December 2005,1,31
282,"August 17, 2022",1,30
283,"July 20, 2020",1,30
284,"August 10, 2020",1,40
285,"November 3, 2020",1,40
286,February 2020,1,40
287,"May 19, 2011",1,37
288,"January 13, 2020",1,40
289,August 2005,1,30
290,"November 6, 2020",1,30
291,"November 17, 2019",1,30
292,"September 30, 2022",1,30
293,"October 23, 2019",1,30
294,"February 1, 2012",1,40
295,March 2022,1,30
296,"February 13, 2014",1,30
297,"June 9, 2021",1,30
298,"June 25, 2019",1,30
299,"March 1, 2015",1,30
300,"November 16, 2017",1,31
301,"October 7, 2021",1,40
302,March 2010,1,31
303,"March 2, 2018",1,40
304,"December 29, 2019",1,60
305,"December 2, 2021",1,45
306,"March 6, 2018",1,124
307,"November 3, 2017",1,100
308,"September 20, 2016",1,100
309,"January 31, 2018",1,100
310,"March 3, 2020",1,102
311,"March 30, 2018",1,102
312,"March 11, 2013",1,106
313,"August 8, 2018",1,107
314,"May 16, 2020",1,108
315,"July 23, 2017",1,108
316,May 2006,1,110
317,"October 29, 2016",1,110
318,"January 13, 2019",1,120
319,"November 26, 2019",1,120
320,"September 24, 2020",1,120
321,"April 3, 2018",1,120
322,"October 31, 2020",1,100
323,"February 1, 2023",1,100
324,"April 15, 2020",1,100
325,"January 11, 2021",1,90
326,"April 16, 2018",1,80
327,January 2023,1,81
328,"April 21, 2017",1,82
329,October 2003,1,82
330,"October 2, 2018",1,84
331,"February 19, 2016",1,90
332,"September 1, 2013",1,90
333,"June 30, 2022",1,99
334,June 2020,1,90
335,"February 24, 2022",1,90
336,"April 10, 2018",1,91
337,"October 15, 2020",1,91
338,"June 23, 2016",1,93
339,"July 3, 2007",1,98
340,"February 9, 2021",1,120
341,"April 13, 2020",1,129
342,"January 2, 2020",1,45
343,"January 7, 2019",1,129
344,"April 30, 2020",1,223
345,"August 1, 2018",1,230
346,"September 27, 2021",1,240
347,"August 15, 2019",1,242
348,"December 26, 2017",1,250
349,"June 11, 2019",1,260
350,"August 17, 2006",1,260
351,"August 28, 2017",1,263
352,May 2009,1,266
353,"September 6, 2019",1,300
354,"September 25, 2022",1,300
355,"July 7, 2019",1,300
356,"March 28, 2019",1,480
357,"February 14, 2014",1,566
358,"December 2, 2018",1,700
359,"March 30, 2009",1,220
360,"March 2, 2021",1,200
361,"December 10, 2017",1,200
362,"September 1, 2018",1,160
363,"August 5, 2022",1,135
364,"May 7, 2021",1,136
365,"July 6, 2017",1,150
366,"November 17, 2017",1,150
367,"January 10, 2021",1,152
368,"June 1, 2022",1,158
369,"October 12, 2020",1,164
370,"September 29, 2018",1,200
371,"July 4, 2018",1,164
372,"January 31, 2008",1,192
373,"August 18, 2021",1,200
374,"March 15, 2021",1,200
375,"January 5, 2022",1,200
376,"November 28, 2016",1,200
377,"December 31, 2021",1,80
378,"January 6, 2022",1,80
379,"December 18, 2018",1,80
380,"August 5, 2020",1,75
381,"April 1, 2014",1,52
382,"March 22, 2021",1,52
383,"March 1, 2003",1,52
384,"November 17, 2020",1,52
385,"June 30, 2020",1,53
386,"June 22, 2022",1,54
387,"April 24, 2016",1,54
388,"June 7, 2020",1,54
389,"April 27, 2021",1,54
390,September 2023,1,55
391,"June 21, 2021",1,55
392,"May 14, 2020",1,55
393,"June 4, 2015",1,55
394,"December 7, 2018",1,56
395,"April 22, 2020",1,56
396,"September 21, 2018",1,50
397,"January 1, 2012",1,50
398,"October 1, 2015",1,50
399,"July 15, 2021",1,48
400,"May 19, 2017",1,45
401,"September 5, 2017",1,46
402,"December 20, 2017",1,46
403,"February 2, 2015",1,46
404,"March 5, 2019",1,46
405,"April 6, 2020",1,47
406,"January 29, 2015",1,48
407,"July 1, 2017",1,50
408,"March 4, 2019",1,48
409,"June 14, 2021",1,48
410,"June 8, 2020",1,48
411,September 2004,1,49
412,"October 10, 2020",1,50
413,"September 10, 2020",1,50
414,"January 2, 2019",1,56
415,"March 31, 2014",1,57
416,"August 30, 2017",1,60
417,"July 19, 2012",1,69
418,"March 20, 2008",1,62
419,"June 11, 2008",1,63
420,"March 3, 2014",1,65
421,"November 20, 2019",1,66
422,"January 14, 2022",1,66
423,"February 12, 2021",1,66
424,"July 24, 2020",1,70
425,"July 16, 2021",1,60
426,October 2007,1,70
427,"September 15, 2021",1,70
428,"January 15, 2019",1,70
429,"July 18, 2020",1,72
430,"November 29, 2010",1,73
431,"June 7, 2017",1,74
432,"January 15, 2018",1,60
433,"April 5, 2020",1,60
434,"October 10, 2017",1,60
435,"September 25, 2017",1,60
436,"February 8, 2022",1,60
437,"February 13, 2020",1,60
438,"July 5, 2019",1,60
439,"September 13, 2021",1,60
440,"March 22, 2005",1,60
441,"August 13, 2018",1,60
442,"April 4, 2019",1,60
443,February 2023,1,60
444,"March 15, 2014",1,60
445,"April 24, 2019",1,60
446,"July 8, 2019",1,60
447,"November 9, 2017",1,60
448,"April 26, 2021",1,60
449,"February 16, 2016",1,28
450,"April 3, 2019",1,28
451,"December 21, 2017",1,0
452,"January 27, 2021",1,28
453,"May 13, 2019",1,12
454,July 2022,1,10
455,"February 11, 2020",1,10
456,"August 27, 2013",1,10
457,"July 24, 2017",1,10
458,"January 17, 2017",1,10
459,October 2023,1,10
460,"November 5, 2019",1,10
461,"September 26, 2019",1,10
462,"July 25, 2020",1,10
463,"July 8, 2020",1,10
464,"March 13, 2006",1,10
465,"January 8, 2019",1,10
466,"June 24, 2020",1,10
467,"April 1, 2021",1,10
468,"December 11, 2021",1,10
469,"March 18, 2019",1,10
470,"August 16, 2018",1,10
471,"December 27, 2016",1,10
472,"April 16, 2020",1,9
473,"November 16, 2016",1,9
474,November 2007,1,9
475,"July 12, 2021",1,9
476,"December 12, 2017",1,9
477,"December 12, 2012",1,9
478,"June 15, 2020",1,9
479,November 1995,1,9
480,"April 13, 2018",1,9
481,"September 15, 2022",1,9
482,"December 5, 2019",1,9
483,"October 4, 2021",1,10
484,"March 3, 2017",1,10
485,"March 1, 2018",1,10
486,"October 5, 2021",1,10
487,"January 18, 2022",1,12
488,"June 5, 2023",1,12
489,"January 24, 2022",1,12
490,"October 18, 2019",1,12
491,"February 20, 2019",1,12
492,"March 23, 2015",1,12
493,"November 10, 2015",1,12
494,"March 16, 2022",1,12
495,"January 3, 2017",1,12
496,"February 22, 2022",1,12
497,"November 18, 2005",1,11
498,"November 2, 2018",1,11
499,"October 30, 2018",1,10
500,"July 9, 2018",1,10
501,"December 5, 2017",1,10
502,"October 5, 2022",1,10
503,"March 2, 2015",1,10
504,July 2004,1,10
505,"May 4, 2022",1,10
506,"March 1, 2014",1,10
507,"September 11, 2019",1,10
508,"May 27, 2019",1,10
509,"December 15, 2018",1,10
510,"April 28, 2020",1,10
511,"June 20, 2019",1,10
512,"February 21, 2018",1,10
513,July 2008,1,10
514,"March 8, 2022",1,10
515,"July 30, 2020",1,9
516,"May 18, 2021",1,9
517,"June 11, 2020",1,9
518,"February 23, 2015",1,1
519,"October 19, 2017",1,5
520,"March 22, 2019",1,5
521,"May 3, 2018",1,4
522,"May 3, 2019",1,4
523,"January 1, 2019",1,4
524,"April 23, 2021",1,4
525,"April 28, 2015",1,3
526,"October 20, 2020",1,3
527,"June 22, 2017",1,3
528,"October 9, 2019",1,3
529,"March 14, 2017",1,2
530,"November 21, 2018",1,2
531,"January 1, 2022",1,1
532,"October 31, 2017",1,1
533,"October 13, 2016",1,5
534,"October 17, 2018",1,1
535,"December 30, 2020",1,1
536,"June 15, 2017",1,1
537,"May 7, 2020",1,0
538,June 2019,1,0
539,August 2019,1,0
540,"March 1, 2025",1,0
541,"February 20, 2017",1,0
542,March 2021,1,0
543,December 2020,1,0
544,"February 24, 2020",1,0
545,February 2008,1,0
546,"March 12, 2021",1,0
547,"March 16, 2020",1,5
548,"April 17, 2019",1,5
549,"March 22, 2022",1,9
550,"March 10, 2017",1,7
551,"November 14, 2020",1,9
552,"November 13, 2013",1,9
553,"January 4, 2017",1,9
554,"May 11, 2015",1,8
555,"August 17, 2019",1,8
556,"March 2, 2019",1,8
557,"April 7, 2016",1,8
558,July 1999,1,8
559,"October 16, 2019",1,7
560,"May 30, 2017",1,7
561,"October 25, 2016",1,7
562,"September 24, 2017",1,7
563,"June 17, 2020",1,7
564,"September 9, 2020",1,7
565,"March 23, 2018",1,5
566,"December 1, 2012",1,7
567,"July 30, 2018",1,6
568,"April 27, 2017",1,6
569,"August 21, 2020",1,6
570,"November 15, 2015",1,6
571,"February 1, 2018",1,6
572,"February 4, 2016",1,6
573,"October 8, 2019",1,6
574,"December 27, 2018",1,6
575,"January 9, 2023",1,6
576,"July 22, 2015",1,6
577,"March 31, 2021",1,6
578,"July 23, 2018",1,5
579,April 2021,1,12
580,"February 18, 2022",1,12
